datetime,precip_mm,temp_C,shortwave_Wm2,longwave_Wm2,wind_mps,pressure
2025-01-03 15:00:00,0.444,5.516,0.0,344.106,6.881,1014.832
2025-01-03 16:00:00,0.584,5.516,0.0,356.398,9.23,1013.607
2025-01-03 17:00:00,2.245,5.516,0.0,376.805,8.197,1017.464
2025-01-03 18:00:00,0.639,5.516,0.0,404.429,8.855,993.905
2025-01-03 19:00:00,0.44,5.516,0.0,354.507,7.799,980.169
2025-01-03 20:00:00,3.135,5.516,0.0,392.755,5.429,1001.563
2025-01-03 21:00:00,1.771,5.516,0.0,321.205,5.843,990.401
2025-01-03 22:00:00,3.373,5.516,0.0,403.989,4.48,984.518
2025-01-03 23:00:00,0.759,5.516,0.0,304.82,8.197,1007.068
2025-01-04 00:00:00,1.429,5.688,0.0,359.007,4.018,1019.308
2025-01-04 01:00:00,0.821,5.688,129.41,344.497,6.001,1006.558
2025-01-04 02:00:00,0.708,5.688,250.0,390.139,4.628,994.303
2025-01-04 03:00:00,0.824,5.688,353.553,344.275,4.103,1013.17
2025-01-04 04:00:00,1.397,5.688,433.013,397.048,9.304,1000.831
2025-01-04 05:00:00,1.293,5.688,482.963,403.654,9.12,1019.479
2025-01-04 06:00:00,0.166,5.688,500.0,374.249,5.92,1009.217
2025-01-04 07:00:00,0.669,5.688,482.963,400.065,6.497,1001.008
2025-01-04 08:00:00,1.526,5.688,433.013,413.42,8.937,1016.406
2025-01-04 09:00:00,4.114,5.688,353.553,315.681,7.517,988.313
2025-01-04 10:00:00,2.033,5.688,250.0,398.293,6.65,988.95
2025-01-04 11:00:00,1.353,5.688,129.41,356.648,4.691,988.839
2025-01-04 12:00:00,1.794,5.688,0.0,383.867,7.023,993.983
2025-01-04 13:00:00,0.521,5.688,0.0,410.182,8.723,991.058
2025-01-04 14:00:00,0.923,5.688,0.0,314.739,5.149,1018.558
2025-01-04 15:00:00,1.693,5.688,0.0,392.183,4.506,1009.631
2025-01-04 16:00:00,2.474,5.688,0.0,352.544,8.357,1001.478
2025-01-04 17:00:00,3.197,5.688,0.0,368.609,6.684,993.136
2025-01-04 18:00:00,1.178,5.688,0.0,407.424,8.05,985.192
2025-01-04 19:00:00,1.508,5.688,0.0,323.792,5.755,1018.27
2025-01-04 20:00:00,1.38,5.688,0.0,340.313,9.188,1017.812
2025-01-04 21:00:00,1.186,5.688,0.0,354.462,4.609,980.183
2025-01-04 22:00:00,1.259,5.688,0.0,394.997,9.063,1000.537
2025-01-04 23:00:00,0.872,5.688,0.0,396.525,4.401,1003.809
2025-01-05 00:00:00,1.632,5.86,0.0,372.36,7.213,1010.6
2025-01-05 01:00:00,0.599,5.86,129.41,329.634,4.052,1019.901
2025-01-05 02:00:00,0.395,5.86,250.0,353.166,7.211,991.74
2025-01-05 03:00:00,1.556,5.86,353.553,352.812,8.588,992.292
2025-01-05 04:00:00,0.889,5.86,433.013,302.329,6.068,987.992
2025-01-05 05:00:00,1.661,5.86,482.963,337.911,8.764,998.826
2025-01-05 06:00:00,0.534,5.86,500.0,324.41,8.068,996.574
2025-01-05 07:00:00,0.43,5.86,482.963,326.499,6.898,1007.171
2025-01-05 08:00:00,0.936,5.86,433.013,323.75,6.159,1001.323
2025-01-05 09:00:00,0.292,5.86,353.553,347.155,5.913,1010.84
2025-01-05 10:00:00,0.202,5.86,250.0,350.295,9.36,1006.897
2025-01-05 11:00:00,1.072,5.86,129.41,335.327,4.637,980.634
2025-01-05 12:00:00,1.659,5.86,0.0,399.325,6.807,996.35
2025-01-05 13:00:00,1.105,5.86,0.0,300.141,7.897,994.12
2025-01-05 14:00:00,0.898,5.86,0.0,302.728,8.218,987.994
2025-01-05 15:00:00,0.987,5.86,0.0,333.142,6.954,1018.63
2025-01-05 16:00:00,1.288,5.86,0.0,402.501,6.028,997.356
2025-01-05 17:00:00,1.28,5.86,0.0,377.82,6.113,1007.052
2025-01-05 18:00:00,1.209,5.86,0.0,376.527,7.795,987.723
2025-01-05 19:00:00,2.724,5.86,0.0,390.757,8.21,1013.277
2025-01-05 20:00:00,0.406,5.86,0.0,348.046,4.278,1010.924
2025-01-05 21:00:00,0.162,5.86,0.0,327.558,8.198,985.698
2025-01-05 22:00:00,3.515,5.86,0.0,418.225,7.432,984.043
2025-01-05 23:00:00,0.494,5.86,0.0,325.532,5.201,1018.12
2025-01-06 00:00:00,2.455,6.031,0.0,411.546,8.867,988.628
2025-01-06 01:00:00,0.69,6.031,129.41,413.643,4.669,1008.492
2025-01-06 02:00:00,0.452,6.031,250.0,360.614,8.934,1007.438
2025-01-06 03:00:00,0.722,6.031,353.553,400.533,5.914,995.533
2025-01-06 04:00:00,1.848,6.031,433.013,359.262,9.283,1000.034
2025-01-06 05:00:00,1.967,6.031,482.963,382.696,5.797,985.386
2025-01-06 06:00:00,3.54,6.031,500.0,348.442,6.797,991.248
2025-01-06 07:00:00,0.107,6.031,482.963,322.114,5.185,1016.832
2025-01-06 08:00:00,2.246,6.031,433.013,322.973,5.042,1015.997
2025-01-06 09:00:00,1.134,6.031,353.553,303.643,9.436,1009.926
2025-01-06 10:00:00,1.004,6.031,250.0,316.938,9.204,1005.497
2025-01-06 11:00:00,2.114,6.031,129.41,368.724,7.934,1011.064
2025-01-06 12:00:00,0.461,6.031,0.0,391.308,7.546,981.813
2025-01-06 13:00:00,4.897,6.031,0.0,376.181,7.952,1010.113
2025-01-06 14:00:00,1.22,6.031,0.0,320.985,7.308,1019.877
2025-01-06 15:00:00,0.924,6.031,0.0,403.206,5.352,1010.149
2025-01-06 16:00:00,1.818,6.031,0.0,404.305,7.121,1015.672
2025-01-06 17:00:00,1.866,6.031,0.0,357.42,4.587,981.217
2025-01-06 18:00:00,1.59,6.031,0.0,324.841,7.901,982.664
2025-01-06 19:00:00,3.711,6.031,0.0,375.248,9.271,996.898
2025-01-06 20:00:00,0.523,6.031,0.0,417.104,7.571,1003.097
2025-01-06 21:00:00,0.174,6.031,0.0,337.705,6.717,987.037
2025-01-06 22:00:00,1.93,6.031,0.0,337.549,5.804,1017.208
2025-01-06 23:00:00,0.33,6.031,0.0,328.522,6.803,984.45
2025-01-07 00:00:00,6.287,6.202,0.0,419.713,6.464,1000.324
2025-01-07 01:00:00,4.564,6.202,129.41,337.119,7.304,992.283
2025-01-07 02:00:00,0.707,6.202,250.0,348.028,7.315,1017.655
2025-01-07 03:00:00,1.22,6.202,353.553,302.905,6.668,1015.997
2025-01-07 04:00:00,0.758,6.202,433.013,304.897,7.195,980.452
2025-01-07 05:00:00,0.379,6.202,482.963,342.317,9.898,989.666
2025-01-07 06:00:00,6.405,6.202,500.0,406.409,5.948,1011.749
2025-01-07 07:00:00,0.992,6.202,482.963,318.475,9.108,1005.886
2025-01-07 08:00:00,2.028,6.202,433.013,356.374,7.397,983.086
2025-01-07 09:00:00,0.239,6.202,353.553,301.728,9.257,987.615
2025-01-07 10:00:00,1.314,6.202,250.0,361.281,9.935,999.26
2025-01-07 11:00:00,0.407,6.202,129.41,383.174,7.07,1009.0
2025-01-07 12:00:00,0.711,6.202,0.0,389.152,9.4,1005.053
2025-01-07 13:00:00,1.088,6.202,0.0,323.21,5.629,983.678
2025-01-07 14:00:00,0.804,6.202,0.0,361.182,8.834,1015.435
2025-01-07 15:00:00,2.51,6.202,0.0,319.196,6.739,1019.253
2025-01-07 16:00:00,1.184,6.202,0.0,338.099,4.668,1004.011
2025-01-07 17:00:00,1.825,6.202,0.0,367.069,8.519,985.429
2025-01-07 18:00:00,1.638,6.202,0.0,322.673,4.38,998.67
2025-01-07 19:00:00,1.152,6.202,0.0,349.677,7.746,985.242
2025-01-07 20:00:00,2.831,6.202,0.0,402.624,4.723,1009.618
2025-01-07 21:00:00,2.512,6.202,0.0,300.508,5.524,992.655
2025-01-07 22:00:00,3.682,6.202,0.0,398.879,8.483,981.383
2025-01-07 23:00:00,3.9,6.202,0.0,349.832,8.181,1001.22
2025-01-08 00:00:00,0.658,6.373,0.0,309.34,9.181,996.124
2025-01-08 01:00:00,0.414,6.373,129.41,311.482,4.064,1010.726
2025-01-08 02:00:00,0.569,6.373,250.0,387.349,6.779,1000.215
2025-01-08 03:00:00,2.607,6.373,353.553,338.301,8.461,1017.881
2025-01-08 04:00:00,1.396,6.373,433.013,379.692,6.387,1004.147
2025-01-08 05:00:00,1.338,6.373,482.963,383.345,6.482,994.074
2025-01-08 06:00:00,0.443,6.373,500.0,359.441,5.228,1007.275
2025-01-08 07:00:00,1.668,6.373,482.963,307.927,4.937,1006.516
2025-01-08 08:00:00,1.042,6.373,433.013,303.385,7.092,996.537
2025-01-08 09:00:00,3.378,6.373,353.553,337.876,9.892,1016.237
2025-01-08 10:00:00,0.213,6.373,250.0,389.406,5.733,1002.659
2025-01-08 11:00:00,0.523,6.373,129.41,360.914,7.131,983.859
2025-01-08 12:00:00,1.486,6.373,0.0,388.089,8.91,1001.998
2025-01-08 13:00:00,2.314,6.373,0.0,354.574,9.094,995.867
2025-01-08 14:00:00,0.562,6.373,0.0,320.682,9.448,988.77
2025-01-08 15:00:00,1.447,6.373,0.0,342.865,6.129,1007.812
2025-01-08 16:00:00,2.19,6.373,0.0,383.495,7.179,999.917
2025-01-08 17:00:00,1.868,6.373,0.0,348.537,7.644,998.602
2025-01-08 18:00:00,1.578,6.373,0.0,339.118,8.173,1008.837
2025-01-08 19:00:00,0.151,6.373,0.0,354.91,7.346,993.413
2025-01-08 20:00:00,0.504,6.373,0.0,391.96,6.802,1019.177
2025-01-08 21:00:00,1.717,6.373,0.0,309.706,9.357,1010.264
2025-01-08 22:00:00,2.185,6.373,0.0,370.577,4.573,989.337
2025-01-08 23:00:00,1.194,6.373,0.0,356.433,9.299,1013.292
2025-01-09 00:00:00,1.611,6.543,0.0,319.209,9.96,993.213
2025-01-09 01:00:00,0.625,6.543,129.41,329.653,7.983,1015.958
2025-01-09 02:00:00,0.605,6.543,250.0,414.668,9.038,1019.225
2025-01-09 03:00:00,0.437,6.543,353.553,332.726,8.654,1012.513
2025-01-09 04:00:00,3.975,6.543,433.013,322.104,9.675,1000.701
2025-01-09 05:00:00,0.52,6.543,482.963,315.822,5.662,986.506
2025-01-09 06:00:00,2.529,6.543,500.0,368.101,9.726,994.049
2025-01-09 07:00:00,2.166,6.543,482.963,358.074,6.343,997.243
2025-01-09 08:00:00,0.144,6.543,433.013,319.486,6.251,986.95
2025-01-09 09:00:00,0.857,6.543,353.553,342.203,4.94,1015.281
2025-01-09 10:00:00,7.593,6.543,250.0,375.799,5.716,1016.657
2025-01-09 11:00:00,0.81,6.543,129.41,325.582,4.759,990.274
2025-01-09 12:00:00,0.983,6.543,0.0,302.775,9.518,986.91
2025-01-09 13:00:00,3.228,6.543,0.0,394.654,7.99,988.906
2025-01-09 14:00:00,0.486,6.543,0.0,416.28,9.193,993.748
2025-01-09 15:00:00,1.439,6.543,0.0,376.282,5.265,997.224
2025-01-09 16:00:00,1.553,6.543,0.0,312.024,7.532,1013.54
2025-01-09 17:00:00,1.763,6.543,0.0,330.567,6.631,982.21
2025-01-09 18:00:00,1.865,6.543,0.0,341.747,9.284,1004.51
2025-01-09 19:00:00,0.674,6.543,0.0,324.737,6.456,1012.547
2025-01-09 20:00:00,3.32,6.543,0.0,415.198,6.838,995.994
2025-01-09 21:00:00,2.464,6.543,0.0,399.025,5.828,1007.536
2025-01-09 22:00:00,0.587,6.543,0.0,372.547,8.012,1012.469
2025-01-09 23:00:00,0.363,6.543,0.0,360.879,4.525,985.288
2025-01-10 00:00:00,1.716,6.713,0.0,323.936,9.662,999.641
